Number of companions,Companion type,Lifespan (days),Thorax length (mm)
8,pregnant,35,0.64
8,pregnant,37,0.68
8,pregnant,49,0.68
8,pregnant,46,0.72
8,pregnant,63,0.72
8,pregnant,39,0.76
8,pregnant,46,0.76
8,pregnant,56,0.76
8,pregnant,63,0.76
8,pregnant,65,0.76
8,pregnant,56,0.8
8,pregnant,65,0.8
8,pregnant,70,0.8
8,pregnant,63,0.84
8,pregnant,65,0.84
8,pregnant,70,0.84
8,pregnant,77,0.84
8,pregnant,81,0.84
8,pregnant,86,0.84
8,pregnant,70,0.88
8,pregnant,70,0.88
8,pregnant,77,0.92
8,pregnant,77,0.92
8,pregnant,81,0.92
8,pregnant,77,0.94
0,NA,40,0.64
0,NA,37,0.7
0,NA,44,0.72
0,NA,47,0.72
0,NA,47,0.72
0,NA,47,0.76
0,NA,68,0.78
0,NA,47,0.8
0,NA,54,0.84
0,NA,61,0.84
0,NA,71,0.84
0,NA,75,0.84
0,NA,89,0.84
0,NA,58,0.88
0,NA,59,0.88
0,NA,62,0.88
0,NA,79,0.88
0,NA,96,0.88
0,NA,58,0.92
0,NA,62,0.92
0,NA,70,0.92
0,NA,72,0.92
0,NA,75,0.92
0,NA,96,0.92
0,NA,75,0.94
1,pregnant,46,0.64
1,pregnant,42,0.68
1,pregnant,65,0.72
1,pregnant,46,0.76
1,pregnant,58,0.76
1,pregnant,42,0.8
1,pregnant,48,0.8
1,pregnant,58,0.8
1,pregnant,50,0.82
1,pregnant,80,0.82
1,pregnant,63,0.84
1,pregnant,65,0.84
1,pregnant,70,0.84
1,pregnant,70,0.84
1,pregnant,72,0.84
1,pregnant,97,0.84
1,pregnant,46,0.88
1,pregnant,56,0.88
1,pregnant,70,0.88
1,pregnant,70,0.88
1,pregnant,72,0.88
1,pregnant,76,0.88
1,pregnant,90,0.88
1,pregnant,76,0.92
1,pregnant,92,0.92
1,virgin,21,0.68
1,virgin,40,0.68
1,virgin,44,0.72
1,virgin,54,0.76
1,virgin,36,0.78
1,virgin,40,0.8
1,virgin,56,0.8
1,virgin,60,0.8
1,virgin,48,0.84
1,virgin,53,0.84
1,virgin,60,0.84
1,virgin,60,0.84
1,virgin,65,0.84
1,virgin,68,0.84
1,virgin,60,0.88
1,virgin,81,0.88
1,virgin,81,0.88
1,virgin,48,0.9
1,virgin,48,0.9
1,virgin,56,0.9
1,virgin,68,0.9
1,virgin,75,0.9
1,virgin,81,0.9
1,virgin,48,0.92
1,virgin,68,0.92
8,virgin,16,0.64
8,virgin,19,0.64
8,virgin,19,0.68
8,virgin,32,0.72
8,virgin,33,0.72
8,virgin,33,0.74
8,virgin,30,0.76
8,virgin,42,0.76
8,virgin,42,0.76
8,virgin,33,0.78
8,virgin,26,0.8
8,virgin,30,0.8
8,virgin,40,0.82
8,virgin,54,0.82
8,virgin,34,0.84
8,virgin,34,0.84
8,virgin,47,0.84
8,virgin,47,0.84
8,virgin,42,0.88
8,virgin,47,0.88
8,virgin,54,0.88
8,virgin,54,0.88
8,virgin,56,0.88
8,virgin,60,0.88
8,virgin,44,0.92
